year,assets
1969,3232482
1970,3306128
1971,3585523
1972,3606060
1973,9913515
1974,10711794
1975,11144311
1976,14043751
1977,17243851
1978,19412932
1979,20913763
1980,21000420
1981,23375884
1982,20091125
1983,24104386
1984,22889753
1985,26515016
1986,33129135
1987,34284001
1988,32920614
1989,35366938
1990,38428091
1991,41426230
1992,45128940
1993,48898576
1994,51218233
1995,51861421
1996,61078906
1997,70354335
1998,94178246
1999,108831104
2000,120000000
2001,90175738
2002,85100000
2003,70000000
2004,79224079
2005,76545212
2006,90232673
2007,92042739
2008,85384469
2009,59939990
