year,applications,approved,dollars mn,dollars nyc,dollars other,genre-Animation,genre-Documentary,genre-Narrative,genre-Experimental
1964,1,1,0,33200,,,,,
1965,1,1,0,3000,,,,,
1966,3,3,0,24000,,,,,
1967,3,3,0,9000,,,,,
1968,1,1,0,10000,,,,,
1969,2,2,0,15500,,,,,
1970,0,0,0,0,,,,,
1971,0,0,0,0,,,,,
1972,0,0,0,0,,,,,
1973,0,0,0,0,,,,,
1974,0,0,0,0,,,,,
1975,0,0,0,0,,,,,
1976,0,1,0,10000,,,,,
1977,0,3,0,51156,,,,,
1978,5,5,0,42873,,,,,
1979,9,5,0,55000,,,,,
1980,16,8,0,69511,,,,,
1981,21,25,49799,121038,,,,,
1982,24,23,86000,78500,,,,,
1983,59,20,84999,60032,,,,,
1984,70,25,92999,161838,,,,,
1985,70,30,108715,158863,,,,,
1986,77,22,100316,145000,,,,,
1987,64,18,120000,85000,,,,,
1988,90,24,102500,154038,,,,,
1989,94,29,104500,154000,,,,,
1990,119,34,100940,169000,,,,,
1991,62,32,122800,89000,,,,,
1992,143,30,55450,178909,,,,,
1993,107,25,79500,119000,,,,,
1994,111,12,0,130000,,,,,
1995,252,37,101665,124000,,,,,
1996,145,19,64000,90000,,,,,
1997,108,11,80663,50000,,,,,
1998,170,29,72500,203000,,,,,
1999,193,32,85000,256500,,,,,
2000,169,25,92000,178500,,,,,
2001,176,27,93000,320000,,,,,
2002,206,24,86000,308000,,,,,
2003,209,30,87500,300000,,,,,
2004,235,29,90000,292000,,,,,
2005,222,28,104000,272500,,,,,
2006,183,18,103000,177500,,,,,
2007,174,20,117854,187500,,0,5,6,2
2008,243,26,105000,270000,,1,14,4,3
2009,205,20,100000,163000,,1,8,7,1
2010,195,20,90000,205000,,2,9,4,1
2011,257,33,110300,310000,,2,17,8,1
2012,185,25,91000,246000,,1,10,7,2
2013,195,21,105000,219555,,1,9,7,4
