key,year,number
Animation,1965,0
Documentary,1965,0
Narrative,1965,0
Experimental,1965,0
Animation,1966,0
Documentary,1966,0
Narrative,1966,0
Experimental,1966,0
Animation,1967,0
Documentary,1967,0
Narrative,1967,0
Experimental,1967,0
Animation,1968,0
Documentary,1968,0
Narrative,1968,0
Experimental,1968,0
Animation,1969,0
Documentary,1969,0
Narrative,1969,0
Experimental,1969,0
Animation,1970,0
Documentary,1970,0
Narrative,1970,0
Experimental,1970,0
Animation,1971,0
Documentary,1971,0
Narrative,1971,0
Experimental,1971,0
Animation,1972,0
Documentary,1972,0
Narrative,1972,0
Experimental,1972,0
Animation,1973,0
Documentary,1973,0
Narrative,1973,0
Experimental,1973,0
Animation,1974,0
Documentary,1974,0
Narrative,1974,0
Experimental,1974,0
Animation,1975,0
Documentary,1975,0
Narrative,1975,0
Experimental,1975,0
Animation,1976,0
Documentary,1976,0
Narrative,1976,0
Experimental,1976,0
Animation,1977,0
Documentary,1977,0
Narrative,1977,0
Experimental,1977,0
Animation,1978,0
Documentary,1978,0
Narrative,1978,0
Experimental,1978,0
Animation,1979,0
Documentary,1979,0
Narrative,1979,0
Experimental,1979,0
Animation,1980,0
Documentary,1980,0
Narrative,1980,0
Experimental,1980,0
Animation,1981,0
Documentary,1981,0
Narrative,1981,0
Experimental,1981,0
Animation,1982,0
Documentary,1982,0
Narrative,1982,0
Experimental,1982,0
Animation,1983,0
Documentary,1983,0
Narrative,1983,0
Experimental,1983,0
Animation,1984,0
Documentary,1984,0
Narrative,1984,0
Experimental,1984,0
Animation,1985,0
Documentary,1985,0
Narrative,1985,0
Experimental,1985,0
Animation,1986,0
Documentary,1986,0
Narrative,1986,0
Experimental,1986,0
Animation,1987,0
Documentary,1987,0
Narrative,1987,0
Experimental,1987,0
Animation,1988,0
Documentary,1988,0
Narrative,1988,0
Experimental,1988,0
Animation,1989,0
Documentary,1989,0
Narrative,1989,0
Experimental,1989,0
Animation,1990,0
Documentary,1990,0
Narrative,1990,0
Experimental,1990,0
Animation,1991,0
Documentary,1991,0
Narrative,1991,0
Experimental,1991,0
Animation,1992,0
Documentary,1992,0
Narrative,1992,0
Experimental,1992,0
Animation,1993,0
Documentary,1993,0
Narrative,1993,0
Experimental,1993,0
Animation,1994,0
Documentary,1994,0
Narrative,1994,0
Experimental,1994,0
Animation,1995,0
Documentary,1995,0
Narrative,1995,0
Experimental,1995,0
Animation,1996,0
Documentary,1996,0
Narrative,1996,0
Experimental,1996,0
Animation,1997,0
Documentary,1997,0
Narrative,1997,0
Experimental,1997,0
Animation,1998,0
Documentary,1998,0
Narrative,1998,0
Experimental,1998,0
Animation,1999,0
Documentary,1999,0
Narrative,1999,0
Experimental,1999,0
Animation,2000,0
Documentary,2000,0
Narrative,2000,0
Experimental,2000,0
Animation,2001,0
Documentary,2001,0
Narrative,2001,0
Experimental,2001,0
Animation,2002,0
Documentary,2002,0
Narrative,2002,0
Experimental,2002,0
Animation,2003,0
Documentary,2003,0
Narrative,2003,0
Experimental,2003,0
Animation,2004,0
Documentary,2004,0
Narrative,2004,0
Experimental,2004,0
Animation,2005,0
Documentary,2005,0
Narrative,2005,0
Experimental,2005,0
Animation,2006,0
Documentary,2006,0
Narrative,2006,0
Experimental,2006,0
Animation,2007,0
Documentary,2007,5
Narrative,2007,6
Experimental,2007,2
Animation,2008,1
Documentary,2008,14
Narrative,2008,4
Experimental,2008,3
Animation,2009,1
Documentary,2009,8
Narrative,2009,7
Experimental,2009,1
Animation,2010,2
Documentary,2010,9
Narrative,2010,4
Experimental,2010,1
Animation,2011,2
Documentary,2011,17
Narrative,2011,8
Experimental,2011,1
Animation,2012,1
Documentary,2012,10
Narrative,2012,7
Experimental,2012,2
Animation,2013,1
Documentary,2013,9
Narrative,2013,7
Experimental,2013,4
