key,year,number
granted,1978,2
denied,1978,3
granted,1979,4
denied,1979,5
granted,1980,7
denied,1980,9
granted,1981,14
denied,1981,7
granted,1982,8
denied,1982,16
granted,1983,6
denied,1983,53
granted,1984,12
denied,1984,58
granted,1985,15
denied,1985,55
granted,1986,11
denied,1986,66
granted,1987,9
denied,1987,55
granted,1988,11
denied,1988,79
granted,1989,15
denied,1989,79
granted,1990,16
denied,1990,103
granted,1991,9
denied,1991,53
granted,1992,22
denied,1992,121
granted,1993,14
denied,1993,93
granted,1994,12
denied,1994,99
granted,1995,37
denied,1995,215
granted,1996,19
denied,1996,126
granted,1997,11
denied,1997,97
granted,1998,29
denied,1998,141
granted,1999,32
denied,1999,161
granted,2000,25
denied,2000,144
granted,2001,27
denied,2001,149
granted,2002,24
denied,2002,182
granted,2003,30
denied,2003,179
granted,2004,29
denied,2004,206
granted,2005,28
denied,2005,194
granted,2006,18
denied,2006,165
granted,2007,20
denied,2007,154
granted,2008,26
denied,2008,217
granted,2009,20
denied,2009,185
granted,2010,20
denied,2010,175
granted,2011,33
denied,2011,224
granted,2012,25
denied,2012,160
granted,2013,21
denied,2013,174
