Year,Artist name,Co-applicant name,Film title,Link
1981,Peter Bundy,,To and From Childhood: A Portrait,
1981,Jackson Buxton,,Change,
1981,James Byrne,,Swan Songs,
1981,Ken Feingold,,Water Falling from One World to Another,
1981,Danielle Fredrickson,,Roberta,
1981,Roger Jacoby,,The Second Part of How To,
1981,Sandy Maliga,,The Hundred Thousand Tasks,
1981,Sheryl Mousley,,"Emmetts Light, Mississippi Galaxy",
1981,Kent Olson,,Tropical Shake,
1981,Jack Savage,,Capriccio for a Slave,
1981,Robert Schwartz,,Incoming Calls,
1982,Janet Bayliss,,Rollag (Steam Threshers Reunion),
1982,Richardo Bloch,,The Persistance of Memory,
1982,Dianne Brennan,,,
1982,Scott Brennan,,Still Thinking,
1982,Bruce Charlesworth,,"Wrong Adventures and Private Enemy, Public Eye",
1982,Tom DeBiaso,,"Untitled, series of video portraits",
1982,Charles France,,Jazz in Exile,
1982,Keith Froelich,,Nocturnes,
1982,Miroslav Janek,,Little City in Space,
1982,Kathleen Laughlin,,Good Grief Chronicles,
1982,Robert Nelson,,,
1982,Brad Smith,,,
1982,Chris Spotted Eeagle,,Indianotations,
1982,William Turnley,,The Ultimate Test Animal,
1982,Josie Winship,,Metamorphosis,
1983,Phyllis Berg-Pigorsch,,The Islander,
1983,David Brown,,From Protest to Resistance,
1983,Bruce Carlson,,The Larger Picture,
1983,Rob Danielson,,Strictly Business,
1983,Scott Dodds,,Sorcerer's Way,
1983,Jerome Fortier,,River of Rags,
1983,Christine Jones,,The Ocean Rooms,
1983,Amy Miller,,A Divorce Trial in China,
1983,Jane Nauman,,Lakota Quillwork-Art and Legend,
1983,Lenore Rindler,,Yoni's Line,
1983,John Steinmann,,Deception,
1983,Robert Vierow,,The Experiment (Temporal Relations in Conditioning),
1983,Steve Westerlund,,Circles of Confusion,
1983,Dawn Wieking,,Relations,
1984,Doug Allaire,,Symbols of God,
1984,Stephanie Beroes,,The Dream Screen,
1984,Richardo Bloch,,Phototropism,
1984,Cathy Cook,,June Brides,
1984,Dennis Darmek,,Objects of Desire,
1984,Steven Harp,,Graffiti,
1984,Mary Key-Shelton,,The Aftermath,
1984,Gary W. McQuay,,How the Loon,
1984,Daniel Polsfuss,,Rain on the Lion,
1984,Kathy Seltzer,,Untitled,
1984,Christopher Sullivan,,Master of Ceremonies,
1984,Steven Weiss,,The Boy Who Loved Venus,
1984,Dawn Wiedeman,,Sovereigns of Seven Troughs,
1985,L. Wade Black,,Dorothy Molter - Living in the Boundary Waters,
1985,James Byrne,,Regardless of the Moment,http://www.byrnefilms.com/
1985,Helen DeMichiel,,"Consider Anything, Only Don't Cry",
1985,Scott Dodds,,Farmer Film,
1985,Ken Feingold,,India Time,
1985,Ann Follett,,Mi Pueblo Es Chiquito,
1985,James Gambone,,Between the Lines,
1985,Ruth Ann Godollei,,Working World,
1985,J. J. Murphy,,Frame of Mind,
1985,Leighton Pierce,,"Red Swing, and Cumulonimbus",
1985,Roger Schmitz,,Now I Lay Me,
1985,Geoff Seelinger,,Walk,
1985,Melanie Sherwood,,The Kitty Green Story,
1985,Deborah Wallwork,,Warriors,
1985,Steve Westerlund,,Living with Nuclear Waste,
1985,Joanna Winship,,Coming Home to Me,
1986,Glenice Anderson,,Yellow Medicine Journal,
1986,Bruce Charlesworth,,Dateline for Danger,
1986,Pamela Colby,,Journey to Sobriety,
1986,Randy Croce,,Clouded Land,
1986,Rob Danielson,,Precious but Second,
1986,Martha Elizabeth Davis,,Hiawatha,
1986,John Flomer,,Ten Episodes for Sonic Discipline,
1986,David Haugland,,Our Time to Sing,
1986,Suzanne Lacy,,"Whisper, The Waves, The Wind",
1986,Kathleen Laughlin,,Unwasted Stories: Approaching Minnesota's Waste Issues,
1986,Douglas Sharples,,Kerouac Remembered,
1987,Steve Busa,,Sioux City,
1987,Laurie Beth Clark,,Un/Necessary Percent,
1987,Cathy Cook,,Bust Up,
1987,Doyle Detroit,,Doyle's Video Journal,
1987,Tonicka Janek,,Valo,
1987,Richard Kohler,,9.8,
1987,Claudia Looze,,In Memoriam,
1987,Mark McCusker,,Such Stuff Stories,
1987,L. Leighton Pierce,,What's Left is Wind and You Can Drive the Big Rigs,
1988,Charles Abourezk,,Quiet Desperation: Floyd Red Crow Westerman,
1988,Melisande Charles,,The Cry of Thoth,
1988,Bruce Charlesworth,,Dateline for Danger,
1988,Cecelia Condit,,Suburbs of Eden,
1988,Dennis Darmek,,The Big Inning,
1988,Helen DeMichiel,,Turn Here Sweet Corn,
1988,Dirk Eitzen,,Tales of the Rails,
1988,Keith Froelich,,Waiting for the Fare,
1988,Steve Grandell,,Horse Head,
1988,Benjamin Martin,,my Show,
1988,Jeanine Mellinger,,Disorders of Communications:Gossip,
1988,Alison Morse,,After This Message,
1988,Dawn Wieking,,"For Love, For Life, We're Not Going Back",
1989,Bruce Charlesworth,,"Private Enemy, Public Eye",
1989,Martha Davis,,The Woman Who Dreamed About the Shoreline,
1989,Kimberly Downing,,Tarawa,
1989,Keith Froehlich,,Waiting for the Fare,
1989,Robert Lawrence,,Park,
1989,J.J.Murphy,,Horicon,
1989,Jamie Patten,,Treading Water,
1989,J. Leighton Pierce,,Principles of Harmonic Motion,
1989,Debra J. Robinson,,Kiss Grandma Goodbye,
1989,Roger Schmitz,,Now I Lay Me…,
1989,Mark Tang,,Relocations and Moon Dancing,
1989,Eric Tretbar,,The Usual ,
1989,Iverson White,,Magic Love,
1989,John Whitehead,,Three Cups of Coffee,
1990,Douglas Cain,,Growing Organically,
1990,Paul Casella,,Poetry Television,
1990,Pamela Colby,,Speak Truth to Power: A Portrait of Polly Mann,
1990,Chris Craton,,Ghosts Along the Freeway,
1990,Mark Curtiss,,Slim and Kyle,
1990,Dennis Darmek,,Crossing the DMZ,
1990,Helen DeMichiel,,Tarantella,
1990,Sayer Frey,,Eileen is a Spy,
1990,Monique Gauthier,,Follow the Dirt Road: An Introduction to Intentional Communities in the 1990s,
1990,DeJunius Hughes,,Rockhouse: A Tribute to Otis Redding,
1990,Joan Kiefer,,The Lost Years,
1990,Diane Kitchen,,A Girl Who Has Lived,
1990,Jeanine Mellinger,,Videowall Quilt,
1990,Daniel Polsfuss,,The Minnesota 8,
1990,Timothy Schwab,,Ghost Dance,
1990,Xiong Vang,,Presenting the Hmong New Year,
1990,Deb Wallwork,,Sacred Buffalo People,
1990,Gloria Williams,,The History of Iowa City Women in Photography,
1991,Sadie Benning,,A Place Called Lovely,
1991,Daniel Bergin,,Black on Black: Droppin' Knowledge,
1991,Emily Birdsong,,,
1991,Daniel Carbone,,,
1991,Christine Ciano,,,
1991,Cathy Cook,,The Match That Started My Fire,
1991,Laura Davis,,Women's War,
1991,LeAnn Erickson,,People's Stff,
1991,Robert Foucault,,,
1991,Keith Froelich,,The Toilers and the Wayfarers,
1991,Mike Hazard,,Jim Northrup: With Reservations,
1991,Robert Lawrence,,Artists consider the Environment,
1991,Sandy Maliga,,circling: she + he,http://maliga.com/sandy/
1991,Eric Mueller,,World and Time Enough,
1991,J.J.Murphy,,Horicon,
1991,K. Erin O'Meara,Brian Smith,Cable access programs,
1991,Leighton Pierce,,Red Shovel,
1991,Camille G. Seaman,,,
1991,Bill Simonett,,Fare Game,
1991,L. Torrevillas,,,
