Year,Artist name,Co-applicant name,Film title,Link
1964,Mary Ellen Bute,,Passages from Finnegan's Wake,
1965,Stan Brakhage,,fellowship - no specific film,
1966,Stan Brakhage,,fellowship - no specific film,
1966,Gregory Markopoulos,,fellowship - no specific film,
1966,Arthur O. Whitney,,fellowship - no specific film,
1967,Stan Brakhage,,fellowship - no specific film,
1967,Peter Kubelka,,fellowship - no specific film,
1967,Peter Kubelka,,fellowship - no specific film,
1968,James Broughton,,The Golden Positions,
1969,James Broughton,,fellowship - no specific film,
1969,Peter Kubelka,,fellowship - no specific film,
1976,Stephen Mack,Barbara Moss,A Crime to Fit the Punishment,
1977,Frank Agnello,Mark Kawell,documentary on Alfred Stieglitz,
1977,Maxi Cohen,,Joe and Maxi,
1977,Sheila Paige,,Motherly Memoirs of the Bandit Queen,
1978,Lizzie Borden,,Born in Flames,
1978,"Roy Campanella, Jr.",,Pass/Fail,
1978,William Felker,Janell Felker,Flesh Fixtures,
1978,Robert Gardner,,Clarence and Angel,
1978,Marjorie Keller,,Daughters of Chaos,
1979,Bette Gordon,,Empty Suitcases,
1979,Martha Haslanger,,The Revolution,
1979,John Knecht,,Continuing The Adventures Of Adriaen Block,
1979,Ken Kobland,,The Communists are Comfortable And 3 Other Stories,http://www.kenkoblandfilms.com/home3.html
1979,David Shepardson,,"Don't bother me, I'm learning",
1980,Jane Aaron,,Remains To Be Seen,http://www.janeaaron.com/Jane_Aaron/Home.html
1980,Roberta Cantow,,If This Ain’t Heaven,http://www.originaldigital.net/home.html
1980,David Dawkins,,Floodstage,
1980,Larraine Lee,,,
1980,Sandy Moore,,"Luck In Loose Plaster and Gawrsh, I Didn’t Know You Was A Lady",
1980,Jan Oxenberg,,Thank You and Good Night,
1980,Anita Thacher,,Loose Corner,http://www.anitathacher.com/
1980,Edin Velez,,Meta-Mayan,http://www.edinvelez.com/
1981,Ericka Beckman,,You the Better,http://www.erickabeckman.com/Home.html
1981,Susan Brockman,,Soul Of A Dog,
1981,Christine Choy,,Mississippi Triangle,
1981,Mark Daniels,,The Influence of Strangers (genealogy),
1981,Rachael Feldman,,Wunderkind,
1981,Madeleine Gekiere,,They are Not Chrysanthemums: Only Man Can Make a Rivet,
1981,Emily Hubley,,Delivery Man,http://www.emilyhubley.com/
1981,Michael Korolenko,,Tam Lin,http://www.korrys.net/
1981,Shelia McLaughlin,Lynne Tillman,Committed,
1981,Mira Nair,,So Far From India,http://mirabaifilms.com/
1981,Mark Rance,,Death and the Singing Telegram,
1981,Ann Schaetzel,,Manhunt,
1981,Jo Tavener,,Down the Rabbit Hole. an Urban Fairytale,
1981,John Tintori,Mary Cybulski,Manhattan Dinner,
1982,Beth B,,Salvation!,http://www.bethbproductions.com/
1982,Jacob Burckhardt,,It Don’t Pay to Be an Honest Citizen,
1982,Ayoka Chenzira,,Hair Piece: A Film for Nappyheaded People,http://www.ayoka.com/
1982,Manuel De Landa,,Raw Nerves Part II,
1982,Sally Heckel,,Unspeakable,http://www.unspeakablethefilm.com/index.html
1982,Leandro Katz,,The Visit,http://www.leandrokatz.com/
1982,Mary Lucier,,Ohio at Giverny,
1982,Ruth Peyser,Jo Bonney,Random Positions,http://ruthpeyser.com/
1983,Alan Berliner,,The Family Album,http://www.alanberliner.com/
1983,Richard Bloes,,Tracking,http://richardbloes.com/
1983,Ed Bowes,,Oh No Paula!,http://www.walsung.com/
1983,Barbara Hammer,,Bent Time,http://barbarahammer.com/
1983,Lisa Hsia,,Made In China,
1983,Rachel Reichman,,The Riverbed,
1984,Liza Bear,,Force of Circumstances,
1984,Ericka Beckman,,Cinderella,http://www.erickabeckman.com/Home.html
1984,Camille Billops,,Older Women and Love,
1984,Lizzie Borden,,Working Girls,
1984,Bill Brand,,Home Less Home,http://www.bboptics.com/
1984,Ann Flournoy,,Big As Life,
1984,Sharon Greytak,,Weirded Out and Blown Away,http://www.sharongreytak.com/
1984,Joanna Kiernan,,Double Hearing,
1984,Mark Magill,,Casting Fair Ophelia,
1984,Ernest Marrero,Susan Kouguell,Before The Rise Of Premonition,
1984,Rita Myers,,The Allure of the Concentric,
1984,Al Robbins,,Inversions,
1985,Ayoka Chenzira,,Zajota and the Boogie Spirit,http://www.ayoka.com/
1985,Mary Filippo,,Who Do You Think You Are,
1985,Holly Fisher,,Soft Shoe,
1985,Andrew Horn,,The Big Blue,
1985,Margia Kramer,,New Wozzeck,
1985,Chris Kraus,,Sadness at Leaving,
1985,Spike Lee,,She’s Gotta Have It,http://www.40acres.com/
1985,Ardele Lister,,Between Heaven and Hell,http://www.ardelelister.com/index.html
1985,Shelia McLaughlin,,She Must Be Seeing Things,
1985,Sandy Moore,,Reverse Transcriptase,
