year,applications,approved,dollars mn,dollars nyc,dollars other,genre-Visual Arts,genre-Theater,genre-Dance,genre-Media Arts/Film and Video,genre-Multidisciplinary,genre-Literature,genre-Music,genre-Arts Criticism,genre-Other Disciplines
1964,3,3,32685,0,6822,0,0,0,2,0,0,1,0,0
1965,6,6,0,54000,10654,0,0,0,4,0,0,2,0,0
1966,12,12,14000,24000,33750,2,0,0,7,0,1,2,0,0
1967,10,10,18610,33500,115405,0,0,0,6,1,2,1,0,0
1968,20,20,6380,95000,60000,1,2,0,10,0,1,4,0,2
1969,18,18,3650,543000,13250,1,1,0,10,0,0,3,0,3
1970,19,19,33898,452500,46000,1,0,0,7,1,0,5,0,5
1971,13,13,54940,120000,50332,1,0,0,7,1,0,4,0,0
1972,11,11,16400,132000,86000,1,0,0,3,1,1,2,0,3
1973,20,20,109100,170900,14875,2,3,0,4,1,2,4,0,4
1974,49,48,352809,524144,56975,7,2,2,16,1,1,11,0,8
1975,37,37,346610,188245,31292,2,4,0,7,1,3,13,0,7
1976,63,63,541875,294950,65554,5,10,2,16,3,5,9,0,13
1977,70,70,452824,325325,71863,8,10,6,15,1,1,17,0,12
1978,53,53,275465,220298,75200,6,10,6,8,2,4,9,1,7
1979,63,63,349318,234572,93300,7,12,9,9,2,6,6,1,11
1980,66,64,470521,191598,41628,10,12,10,6,3,4,10,1,8
1981,82,70,423673,386484,72604,13,17,8,3,2,7,11,2,7
1982,82,70,641557,360030,79926,13,11,8,6,3,7,16,0,6
1983,96,75,640580,411100,19447,18,15,10,2,4,6,11,2,7
1984,198,81,1054592,520650,19826,10,15,14,7,4,10,14,1,6
1985,172,75,720848,406700,36810,15,12,16,2,4,7,14,0,5
1986,208,91,790420,402150,46333,15,16,16,4,5,11,17,0,7
1987,167,93,925930,540105,46070,13,17,14,1,12,10,17,2,7
1988,180,85,987922,519330,25203,13,13,16,3,8,4,17,4,7
1989,157,87,1015105,576200,27182,13,15,16,5,10,7,13,1,7
1990,175,89,710453,698200,15502,18,11,12,6,13,6,14,2,7
1991,187,86,979755,525700,37899,12,13,22,2,9,6,13,2,7
1992,175,96,699191,536200,28188,18,16,18,7,12,5,9,2,9
1993,158,93,1170700,702550,23886,16,15,16,1,16,7,9,2,11
1994,215,87,854886,537700,7930,12,12,20,3,16,6,6,3,9
1995,286,111,1409650,771000,9831,15,21,16,2,24,13,12,2,6
1996,271,97,1088515,564460,9512,17,15,13,4,17,8,15,2,6
1997,287,120,1839140,916100,14870,20,19,21,5,23,12,11,4,5
1998,288,136,1614430,1354650,43856,18,26,28,6,23,13,14,2,6
1999,272,120,1953397,1210000,22291,24,26,20,7,14,11,12,1,5
2000,302,145,2356046,1753150,37020,25,29,24,6,27,11,13,2,8
2001,297,127,1858200,1396650,22120,15,28,23,5,18,17,16,2,3
2002,292,117,1634550,1467250,21036,19,22,22,5,22,7,14,1,5
2003,269,99,1637440,1308000,19440,15,23,18,6,12,9,9,1,6
2004,247,97,1249674,1176986,17746,19,17,17,5,16,7,10,1,5
2005,264,92,1390250,1063750,27740,18,20,14,7,11,7,9,0,6
2006,284,105,1545025,1456750,37740,24,20,13,6,18,10,7,1,6
2007,230,85,1529900,897250,32170,17,14,18,4,9,7,11,1,4
2008,251,89,1019887,1100035,9830,15,19,13,6,14,8,7,2,5
2009,187,81,1062742,701200,23327,19,16,6,5,12,10,7,0,6
2010,204,97,1613065,1139250,32050,18,17,14,7,15,11,10,0,5
2011,174,83,1094005,865650,71280,11,9,18,5,15,11,8,0,6
2012,179,82,1425339,1465570,32000,16,11,12,6,15,9,7,0,6
2013,157,78,1135655,840900,25000,13,18,15,3,13,8,6,0,2
