year,name,link
1964,The Minnesota Foundation,
1964,University of Minnesota,http://www.umn.edu/
1964,University of Wisconsin,http://www.wisc.edu/
1965,Edouard Nies-Berger,
1965,Film Culture Non-Profit Corporation,
1965,Friends of New Cinema,
1965,New England Conservatory of Music,
1966,Anthology Film Archives,http://www.anthologyfilmarchives.org
1966,Arthur O. Whitney,
1966,C. G. Jung Institute,
1966,Edouard Nies-Berger,
1966,The Citizen's Committee for the Preservation of the Metropolitan Opera House,
1966,The Minneapolis Society of Fine Arts,
1966,The Society of Cinematologists,
1966,Twin Cities Public Television,http://www.tpt.org
1966,University of Iowa,http://www.uiowa.edu/
1966,University of Minnesota,www.umn.edu/
1967,Anthology Film Archives,www.anthologyfilmarchives.org
1967,C. G. Jung Institute,
1967,Film Culture Non-Profit Corporation,
1967,Macalester College,http://www.macalester.edu
1967,New England Conservatory of Music,
1968,Anthology Film Archives,http://www.anthologyfilmarchives.org
1968,C. G. Jung Institute,
1968,Edouard Nies-Berger,
1968,Frank Lee,
1968,Research Institute for the Study of Man at Columbia University,
1968,San Francisco Art Institute,http://www.sfai.edu/
1968,Shakespeare in the Streets,
1968,Skowhegan School of Painting & Sculpture,http://www.skowheganart.org/
1968,Southampton College,
1968,Twin Cities Public Television,http://www.tpt.org
1968,University of Iowa,http://www.uiowa.edu/
1968,University of Minnesota,http://www.umn.edu/
1968,Young Audiences,
1969,Afro-American Music Opportunities,
1969,American Indian Cultural Research Center /Blue Cloud Abbey,
1969,Anthology Film Archives,http://www.anthologyfilmarchives.org
1969,Frank Lee,
1969,San Francisco Art Institute,http://www.sfai.edu/
1969,Shakespeare in the Streets,
1969,University of Minnesota,http://www.umn.edu/
1969,Washington Square Methodist Church,
1969,Young Audiences,
1970,American Field Service,
1970,Anthology Film Archives,http://www.anthologyfilmarchives.org
1970,Film Culture Non-Profit Corporation,
1970,Handex Corporation,
1970,Institute for Ecumenical & Cultural Research,
1970,Minnesota Council on Economic Education,
1970,New England Conservatory of Music,
1970,Saint John's University,http://www.csbsju.edu
1970,Saint John's University,www.csbsju.edu
1970,Saint Paul Council of Arts and Sciences,
1970,Southwest Minnesota State University,http://www.smsu.edu/
1970,Twin Cities Public Television,http://www.tpt.org
1970,University of Texas,http://www.utexas.edu/
1970,Washington Square Methodist Church,
1970,Yale Film Associates / Yale University,
1970,Young Audiences,
1971,Anthology Film Archives,http://www.anthologyfilmarchives.org
1971,College of Saint Benedict,http://www.csbsju.edu/
1971,Film in the Cities,
1971,Film in the Cities,
1971,Frank Lee,
1971,Minneapolis College of Art and Design,http://www.mcad.edu
1971,Skowhegan School of Painting & Sculpture,http://www.skowheganart.org/
1971,Southwest Minnesota State University,http://www.smsu.edu/
1971,"The Connecticut Players Foundation, Inc.",
1971,The School of the Art Institute of Chicago,http://www.saic.edu
1971,The Schubert Club,http://schubert.org/
1971,Twin Cities Public Television,http://www.tpt.org
1971,University of Minnesota,http://www.umn.edu/
1972,American Field Service,
1972,Anthology Film Archives,www.anthologyfilmarchives.org
1972,Film Culture Non-Profit Corporation,
1972,Film in the Cities,
1972,Frank Lee,
1972,Handex Corporation,
1972,Hofstra University,
1972,Southwest Minnesota State University,http://www.smsu.edu/
1972,University of Iowa,http://www.uiowa.edu/
1972,University of Texas,http://www.utexas.edu/
1972,University of Texas,http://www.utexas.edu/
1973,Afro-American Music Opportunities,
1973,American Field Service,
1973,Anthology Film Archives,http://www.anthologyfilmarchives.org
1973,Carleton College,http://www.carleton.edu/
1973,"Classical America, Inc.",
1973,Concordia College,
1973,Film in the Cities,
1973,Institute for Ecumenical & Cultural Research,
1973,Minnesota Museum of American Art,
1973,Oregon Symphony Orchestra,http://www.orsymphony.org/
1973,Saint Cloud Community Arts Council,
1973,Saint Paul Opera Association,
1973,Southwest Minnesota State University,http://www.smsu.edu/
1973,The American Shakespeare Festival Theatre,
1973,The American University,http://www.american.edu/
1973,The Children’s Theatre Company,www.childrenstheatre.org
1973,The Guthrie Theater Foundation,
1973,The Schubert Club,http://schubert.org/
1973,Twin Cities Public Television,http://www.tpt.org
1973,"United Negro College Fund, Inc.",http://www.uncf.org/
1974,Afro-American Music Opportunities,
1974,Anthology Film Archives,www.anthologyfilmarchives.org
1974,Carleton College,http://www.carleton.edu/
1974,"Classical America, Inc.",
1974,College of Saint Benedict,http://www.csbsju.edu/
1974,College of Saint Benedict,http://www.csbsju.edu/
1974,Cricket Theatre,
1974,Dartmouth College,http://dartmouth.edu/
1974,Film Culture Non-Profit Corporation,
1974,Foundation Center,www.foundationcenter.org
1974,Henry Street Settlement,http://henrystreet.org
1974,Institute for Ecumenical & Cultural Research,
1974,International Foundation for Art Research,
1974,Macalester College,http://www.macalester.edu
1974,"Midwestern Educational Television, Inc.",
1974,Minnesota Museum of American Art,
1974,Minnesota Opera,http://www.mnopera.org/
1974,National Charities Information Bureau,
