year,applications,granted
1964,3,3
1965,6,6
1966,12,12
1967,10,10
1968,20,20
1969,18,18
1970,19,19
1971,13,13
1972,11,11
1973,20,20
1974,48,48
1975,37,37
1976,63,63
1977,70,70
1978,55,53
1979,67,63
1980,71,64
1981,84,70
1982,78,70
1983,81,75
1984,93,81
1985,90,75
1986,108,91
1987,116,93
1988,126,85
1989,126,87
1990,137,89
1991,126,86
1992,154,96
1993,144,93
1994,133,87
1995,177,111
1996,164,97
1997,184,120
1998,222,136
1999,212,120
2000,231,145
2001,216,126
2002,193,117
2003,160,99
2004,159,97
2005,120,92
2006,158,105
2007,134,85
2008,150,89
2009,134,81
2010,150,97
2011,150,83
2012,140,82
2013,88,44
