year,asset size,dollars_mn,dollars_nyc,dollars_other,dollars_total,dollars_gp,dollars_nyc_fv,dollars_ts,dollars_mn_fv,applications,approved
1963,0,0,0,0,0,0,0,0,0,0,0
1964,0,32685,3000,6822,42507,39507,33200,0,0,3,4
1965,0,0,57000,10654,67654,64654,3000,0,0,6,7
1966,0,14000,48000,33750,95750,71750,24000,0,0,12,15
1967,0,18610,49500,115405,183515,167515,9000,0,0,29,13
1968,2705665,6380,103000,60000,169380,161380,10000,0,0,85,21
1969,3232482,3650,560500,13250,577400,559900,15500,0,0,69,20
1970,3306127,33898,452500,46000,532398,532398,0,0,0,118,19
1971,3585523,54940,120000,50332,225272,225272,0,0,0,174,13
1972,3606509,16400,132000,86000,234400,234400,0,0,0,263,11
1973,9913515,109100,170900,14875,294875,294875,0,0,0,350,20
1974,10711794,352809,524144,56975,933928,933928,0,0,0,325,48
1975,11144311,346610,188245,31292,566147,566147,0,0,0,322,37
1976,14043751,541875,321706,65554,929135,902379,10000,0,0,331,64
1977,17243851,452824,364725,71863,889412,850012,51156,0,0,521,73
1978,19646097,275465,258171,75200,608836,570963,42873,0,0,486,58
1979,20913763,349318,279583,93300,722201,677190,55000,0,0,529,68
1980,21000420,470521,269098,41628,781247,703747,69511,0,0,395,72
1981,23375884,472322,509522,72604,1054449,882762,121038,0,49799,470,95
1982,20091125,730957,438530,79926,1249414,1081514,78500,0,86000,365,93
1983,24104386,721727,475132,19447,1216306,1071127,60032,0,84999,447,95
1984,22889753,1152943,678488,19826,1851257,1595068,161838,0,92999,477,106
1985,26515016,829563,569563,36810,1435936,1164358,158863,0,108715,445,105
1986,33129135,900606,543150,46333,1490089,1238903,145000,12370,100316,509,119
1987,34284001,1094301,623105,46070,1763476,1512105,85000,45371,120000,456,125
1988,32920614,1193698,671368,25203,1890269,1532455,154038,84526,102500,506,139
1989,35366938,1201119,737200,27182,1965501,1618487,154000,82514,104500,501,140
1990,38428091,901639,869200,15502,1786341,1424155,169000,89996,100940,613,155
1991,41426230,1195349,604700,37899,1837948,1543354,89000,94044,122800,637,149
1992,45128940,853325,718609,28188,1600122,1263579,178909,91684,55450,713,162
1993,48898576,1358274,825050,23886,2207210,1897136,119000,117074,79500,553,155
1994,51218233,943639,663700,7930,1615269,1400516,130000,88753,0,445,133
1995,51861421,1617933,900000,9831,2527764,2190481,124000,101618,101665,692,177
1996,63903289,1291439,651460,9512,1952411,1662487,90000,135424,64000,773,164
1997,70943247,2064936,971100,14870,3050906,2770110,50000,146633,80663,640,184
1998,95460804,1855651,1555150,43856,3454657,3012936,203000,168721,72500,797,222
1999,108831104,2228107,1463500,22291,3713898,3185688,256500,184710,85000,795,212
2000,127050622,2628138,1937150,37020,4602308,4146216,178500,181092,92000,772,231
2001,99441020,2145533,1721650,22120,3889303,3311207,320000,165096,93000,904,216
2002,85558032,1891761,1765250,21036,3678047,3149047,308000,144000,86000,900,193
2003,70777864,1836593,1613000,19440,3469033,2964880,300000,106653,87500,640,160
2004,79224079,1461859,1475486,17746,2955091,2444406,292000,117185,90000,704,159
2005,79999074,1484250,1329750,27740,2841740,2481740,272500,0,104000,487,120
2006,93653782,1708102,1716416,37740,3462258,3039515,177500,138389,103000,787,158
2007,95158549,1699028,1159674,32170,2890872,2459320,187500,125052,117854,842,134
2008,88739913,1172450,1435753,9830,2618033,2129752,270000,134781,105000,795,150
2009,62251792,1219541,950338,23327,2193206,1787269,163000,126437,100000,755,134
2010,75509756,1754478,1413630,32050,3200158,2784365,205000,125793,90000,693,150
2011,83558811,1261813,1251850,71280,2584943,2030935,310000,137708,110300,860,150
2012,81417768,1591671,1782850,32000,3406521,2922909,246000,134631,91000,641,140
2013,87591859,1268535,1126812,25000,2602247,2001555,219555,145487,105000,698,134
