start,end,years,grants,name,link,genre
1984,1998,15,11,The Center for Arts Criticism,,Criticism
1988,2008,19,14,Theatre Communications Group,http://www.tcg.org/,Criticism
1982,1993,12,9,New Dance Laboratory,,Dance
1977,1994,18,16,American Dance Festival,http://www.americandancefestival.org/,Dance
1981,2000,18,17,Minnesota Dance Alliance/Dance Today,http://special.lib.umn.edu/findaid/xml/paa064.xml,Dance
1977,2006,10,9,Minnesota Dance Theatre and School,http://mndance.org/,Dance
1994,2012,19,11,Movement Research,http://www.movementresearch.org/,Dance
1986,2014,13,11,Elizabeth Streb/Ringside/STREB Lab for Action Mechanics,http://www.streb.org/,Dance
1980,2014,35,27,New York Live Arts / Dance Theater Workshop,http://www.newyorklivearts.org/,Dance
1994,2014,18,16,James Sewell Ballet,http://www.jsballet.org/,Dance
1996,2014,19,10,Danspace Project,http://danspaceproject.org/,Dance
1987,2014,28,19,Zenon Dance Company and School,http://www.zenondance.org/,Dance
1981,1996,16,9,Saint Louis County Heritage and Arts Center,http://www.duluthdepot.org/,Literature
1994,2006,12,11,S.A.S.E.:  The Write Place,http://www.mnhs.org/library/findaids/00636.xml,Literature
1980,2008,25,17,New Rivers Press,http://newriverspress.blogspot.com/,Literature
1994,2008,13,7,Asian American Writers Workshop,http://aaww.org/,Literature
1999,2010,10,7,Mizna: A Forum for Arab American Arts,http://mizna.org/,Literature
1985,2011,22,16,Graywolf Press,https://www.graywolfpress.org/,Literature
1987,2014,27,21,Coffee House Press,http://coffeehousepress.org/,Literature
1979,2014,28,18,Milkweed Editions,http://milkweed.org/,Literature
1979,2014,36,51,The Loft Literary Center,https://www.loft.org/,Literature
1998,2014,17,16,Cave Canem Foundation,https://www.cavecanempoets.org/,Literature
1971,1992,19,20,Film in the Cities,http://www.mnhs.org/library/findaids/00195.xml,Media Arts/Film and Video
1966,1995,20,24,Twin Cities Public Television,http://www.tpt.org/,Media Arts/Film and Video
1966,1997,20,48,Anthology Film Archives,http://anthologyfilmarchives.org/,Media Arts/Film and Video
1976,2011,22,11,The Museum of Modern Art,http://www.moma.org/,Media Arts/Film and Video
1984,2014,28,21,Harvestworks Digital Media Arts Center,http://www.harvestworks.org/,Media Arts/Film and Video
1989,2014,26,15,New Radio and Performing Arts,http://new-radio.org/,Media Arts/Film and Video
1996,2014,19,22,IFP Minnesota,http://www.ifpmn.org/,Media Arts/Film and Video
2003,2014,12,8,Rhizome.org,http://rhizome.org/,Media Arts/Film and Video
1980,1999,20,21,Independent Sector,http://www.independentsector.org/,Miscellaneous
1980,2003,22,20,Minnesota Alliance for Arts in Education,,Miscellaneous
1974,2014,33,25,Foundation Center,http://foundationcenter.org/,Miscellaneous
1975,2014,37,38,Council on Foundations,http://www.cof.org/,Miscellaneous
1986,2014,27,22,Grantmakers in the Arts,http://www.giarts.org/,Miscellaneous
1976,2014,39,41,Minnesota Council on Foundations,http://www.mcf.org/,Miscellaneous
1983,2003,15,13,Creative Time,http://creativetime.org/,Multidisciplinary
1986,2007,16,10,The Southern Theater Foundation,http://www.southerntheater.org/,Multidisciplinary
1994,2009,15,12,Patrick's Cabaret,http://www.patrickscabaret.org/,Multidisciplinary
1993,2009,14,10,New York Mills Arts Retreat and Regional Cultural Center,http://kulcher.org/,Multidisciplinary
1996,2009,14,9,Blacklock Nature Sanctuary,http://www.blacklocknaturesanctuary.org/main1.html,Multidisciplinary
1982,2014,32,41,Franklin Furnace Archive,http://www.franklinfurnace.org/,Multidisciplinary
1977,2012,33,37,Walker Art Center,http://www.walkerart.org,Multidisciplinary
1984,2014,30,30,Intermedia Arts Minnesota,http://intermediaarts.org/,Multidisciplinary
1986,2014,29,22,Performance Space 122,http://www.ps122gallery.org/,Multidisciplinary
1993,2014,21,19,Harlem Stage at The Gatehouse,http://harlemstage.org/,Multidisciplinary
1986,2014,29,19,Springboard for the Arts,http://springboardforthearts.org/,Multidisciplinary
1979,2014,18,18,"Haleakala, Inc. / The Kitchen",http://www.thekitchen.org/,Multidisciplinary
1989,2014,25,17,Open Channels/Dixon Place,http://www.dixonplace.org/,Multidisciplinary
1984,2014,26,14,Minnesota Center for Book Arts,http://www.mnbookarts.org/,Multidisciplinary
1998,2014,17,11,HERE Arts/Home for Contemporary Theatre and Art,http://here.org/,Multidisciplinary
1994,2014,19,11,VSA Minnesota,http://vsamn.org/,Multidisciplinary
1999,2014,16,8,Anderson Center for Interdisciplinary Studies,http://www.andersoncenter.org/,Multidisciplinary
1974,1993,12,17,The Saint Paul Chamber Orchestra,http://www.thespco.org/,Music
1971,1993,19,17,The Schubert Club,http://schubert.org/,Music
1982,1994,13,13,Composers' Forum,,Music
1987,2002,14,11,The Dale Warland Singers,http://www.dalewarlandsingers.org/,Music
1978,2005,23,16,The New Museum of Contemporary Art,http://www.newmuseum.org/,Music
1991,2007,12,10,Bang on a Can,http://bangonacan.org/,Music
1987,2008,16,12,Nautilus Music-Theater,http://www.nautilusmusictheater.org/,Music
1979,2009,29,21,New Music USA/Meet The Composer,https://www.newmusicusa.org/,Music
